"STRUCTURE","STRUCTURE_ID","ACTION","FREQ","FREQ_LABEL","REF_AREA","REF_AREA_LABEL","INDICATOR","INDICATOR_LABEL","SEX","SEX_LABEL","AGE","AGE_LABEL","URBANISATION","URBANISATION_LABEL","UNIT_MEASURE","UNIT_MEASURE_LABEL","COMP_BREAKDOWN_1","COMP_BREAKDOWN_1_LABEL","COMP_BREAKDOWN_2","COMP_BREAKDOWN_2_LABEL","COMP_BREAKDOWN_3","COMP_BREAKDOWN_3_LABEL","TIME_PERIOD","OBS_VALUE","AGG_METHOD","AGG_METHOD_LABEL","DECIMALS","DECIMALS_LABEL","DATABASE_ID","DATABASE_ID_LABEL","COMMENT_TS","UNIT_MULT","UNIT_MULT_LABEL","DATA_SOURCE","DATA_SOURCE_LABEL","UNIT_TYPE","UNIT_TYPE_LABEL","TIME_FORMAT","TIME_FORMAT_LABEL","COMMENT_OBS","OBS_STATUS","OBS_STATUS_LABEL","OBS_CONF","OBS_CONF_LABEL"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2010","0.0941223116369514","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2011","-0.639920636520344","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2012","-2.865113686377484","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2013","-1.4273222475762566","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2014","1.520485936472312","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2015","4.060866724738659","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2016","2.915155985957867","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2017","2.896042078650069","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2018","2.395411244788775","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2019","1.961178508417106","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2020","-10.94007063503706","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2021","6.683144204730013","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2022","6.17931219966114","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2023","2.6756634629065985","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
"datastructure","WB.DATA360:DS_DATA360(1.3)","I","A","Annual","ESP","Spain","WB_WDI_NY_GDP_MKTP_KD_ZG","GDP growth (annual %)","_T","Total","_T","All age ranges or no breakdown by age","_T","Total","PC_A","Percentage change per annum","_Z","Not Applicable","_Z","Not Applicable","_Z","Not Applicable","2024","3.150195645172232","_Z","Not Applicable","2","Two","WB_WDI","World Development Indicators (WDI)","GDP growth (annual %)","0","Units","WB_WDI","World Development Indicators (WDI)","RATIO","Ratio","P1Y","Annual","","A","Normal value","PU","Public"
